set_num,name,year,theme_id,num_parts,img_url
70681-1,Spinjitzu Slam - Lloyd,2019,435,70,https://cdn.rebrickable.com/media/sets/70681-1.jpg
71730-1,Epic Battle Set - Kai vs. Skulkin,2021,435,70,https://cdn.rebrickable.com/media/sets/71730-1.jpg
2258-1,Ninja Ambush,2011,435,71,https://cdn.rebrickable.com/media/sets/2258-1.jpg
30536-1,Combo Charger,2020,435,71,https://cdn.rebrickable.com/media/sets/30536-1.jpg
70682-1,Spinjitzu Slam - Jay,2019,435,72,https://cdn.rebrickable.com/media/sets/70682-1.jpg
71777-1,Kaiâ€™s Dragon Power Spinjitzu Flip,2023,435,72,https://cdn.rebrickable.com/media/sets/71777-1.jpg
40374-1,Golden Zane Minifigure Accessory Set,2020,435,73,https://cdn.rebrickable.com/media/sets/40374-1.jpg
9591-1,Weapon Pack,2012,435,73,https://cdn.rebrickable.com/media/sets/9591-1.jpg
70637-1,Cole - Spinjitzu Master,2018,435,74,https://cdn.rebrickable.com/media/sets/70637-1.jpg
30591-1,Titanium Mini Mech,2021,435,77,https://cdn.rebrickable.com/media/sets/30591-1.jpg
71732-1,Epic Battle Set - Jay vs. Serpentine,2021,435,78,https://cdn.rebrickable.com/media/sets/71732-1.jpg
71805-1,Jay's Mech Battle Pack,2024,435,78,https://cdn.rebrickable.com/media/sets/71805-1.jpg
70720-1,Hover Hunter,2014,435,79,https://cdn.rebrickable.com/media/sets/70720-1.jpg
71838-1,Kai's Motorcycle Speed Race,2025,435,79,https://cdn.rebrickable.com/media/sets/71838-1.jpg
30699-1,Mini Ninja Combo Mech,2025,435,80,https://cdn.rebrickable.com/media/sets/30699-1.jpg
71701-1,Kai's Fire Dragon,2020,435,81,https://cdn.rebrickable.com/media/sets/71701-1.jpg
70671-1,Lloyd's Journey,2019,435,82,https://cdn.rebrickable.com/media/sets/70671-1.jpg
20020-1,Mini Turbo Shredder,2011,435,83,https://cdn.rebrickable.com/media/sets/20020-1.jpg
70621-1,The Vermillion Attack,2017,435,83,https://cdn.rebrickable.com/media/sets/70621-1.jpg
71816-1,Zane's Ice Motorcycle,2024,435,84,https://cdn.rebrickable.com/media/sets/71816-1.jpg
9440-1,Venomari Shrine,2012,435,86,https://cdn.rebrickable.com/media/sets/9440-1.jpg
850445-1,Character Card Shrine,2012,435,88,https://cdn.rebrickable.com/media/sets/850445-1.jpg
70648-1,Zane - Dragon Master,2018,435,92,https://cdn.rebrickable.com/media/sets/70648-1.jpg
70644-1,Golden Dragon Master,2018,435,93,https://cdn.rebrickable.com/media/sets/70644-1.jpg
70645-1,Cole - Dragon Master,2018,435,93,https://cdn.rebrickable.com/media/sets/70645-1.jpg
70646-1,Jay - Dragon Master,2018,435,93,https://cdn.rebrickable.com/media/sets/70646-1.jpg
70647-1,Kai - Dragon Master,2018,435,93,https://cdn.rebrickable.com/media/sets/70647-1.jpg
71827-1,Zane's Battle Suit Mech,2025,435,93,https://cdn.rebrickable.com/media/sets/71827-1.jpg
70753-1,Lava Falls,2015,435,94,https://cdn.rebrickable.com/media/sets/70753-1.jpg
71780-1,Kai's Ninja Race Car EVO,2023,435,94,https://cdn.rebrickable.com/media/sets/71780-1.jpg
71761-1,Zane's Power Up Mech EVO,2022,435,95,https://cdn.rebrickable.com/media/sets/71761-1.jpg
70659-1,Spinjitzu Kai,2019,435,97,https://cdn.rebrickable.com/media/sets/70659-1.jpg
70660-1,Spinjitzu Jay,2019,435,97,https://cdn.rebrickable.com/media/sets/70660-1.jpg
NINJATRU-1,Kai's Mask,2015,435,97,https://cdn.rebrickable.com/media/sets/ninjatru-1.jpg
NINJATRU-2,Lloyd's Mask,2015,435,97,https://cdn.rebrickable.com/media/sets/ninjatru-2.jpg
NINJATRU-3,Cole's Mask,2015,435,97,https://cdn.rebrickable.com/media/sets/ninjatru-3.jpg
NINJATRU-4,Jay's Mask,2015,435,97,https://cdn.rebrickable.com/media/sets/ninjatru-4.jpg
NINJATRU-5,Zane's Mask,2015,435,97,https://cdn.rebrickable.com/media/sets/ninjatru-5.jpg
2856134-1,Card Shrine,2011,435,98,https://cdn.rebrickable.com/media/sets/2856134-1.jpg
70599-1,Cole's Dragon,2016,435,98,https://cdn.rebrickable.com/media/sets/70599-1.jpg
70500-1,Kai's Fire Mech,2013,435,102,https://cdn.rebrickable.com/media/sets/70500-1.jpg
71789-1,Kai and Ras's Car and Bike Battle,2023,435,103,https://cdn.rebrickable.com/media/sets/71789-1.jpg
71804-1,Arin's Battle Mech,2024,435,104,https://cdn.rebrickable.com/media/sets/71804-1.jpg
71740-1,Jay's Electro Mech,2021,435,106,https://cdn.rebrickable.com/media/sets/71740-1.jpg
70661-1,Spinjitzu Zane,2019,435,109,https://cdn.rebrickable.com/media/sets/70661-1.jpg
71840-1,Rogue vs. Drix Race Car Duel,2025,435,111,https://cdn.rebrickable.com/media/sets/71840-1.jpg
70662-1,Spinjitzu Cole,2019,435,117,https://cdn.rebrickable.com/media/sets/70662-1.jpg
71815-1,Kai's Source Dragon Battle,2024,435,120,https://cdn.rebrickable.com/media/sets/71815-1.jpg
71700-1,Jungle Raider,2020,435,127,https://cdn.rebrickable.com/media/sets/71700-1.jpg
71829-1,Lloyd's Green Forest Dragon,2025,435,128,https://cdn.rebrickable.com/media/sets/71829-1.jpg
70680-1,Monastery Training,2019,435,131,https://cdn.rebrickable.com/media/sets/70680-1.jpg
71810-1,Young Dragon Riyu,2024,435,132,https://cdn.rebrickable.com/media/sets/71810-1.jpg
71760-1,Jay's Thunder Dragon EVO,2022,435,140,https://cdn.rebrickable.com/media/sets/71760-1.jpg
71784-1,Jay's Lightning Jet EVO,2023,435,146,https://cdn.rebrickable.com/media/sets/71784-1.jpg
71768-1,Jay's Golden Dragon Motorbike,2022,435,148,https://cdn.rebrickable.com/media/sets/71768-1.jpg
71749-1,Final Flight of Destiny's Bounty,2021,435,150,https://cdn.rebrickable.com/media/sets/71749-1.jpg
70754-1,ElectroMech,2015,435,153,https://cdn.rebrickable.com/media/sets/70754-1.jpg
70665-1,The Samurai Mech,2019,435,154,https://cdn.rebrickable.com/media/sets/70665-1.jpg
2259-1,Skull Motorbike,2011,435,157,https://cdn.rebrickable.com/media/sets/2259-1.jpg
71798-1,Nya and Arin's Baby Dragon Battle,2023,435,157,https://cdn.rebrickable.com/media/sets/71798-1.jpg
2260-1,Ice Dragon Attack,2011,435,158,https://cdn.rebrickable.com/media/sets/2260-1.jpg
71831-1,Ninja Spinjitzu Temple,2025,435,160,https://cdn.rebrickable.com/media/sets/71831-1.jpg
